study_id,first_author,year,journal,country,doi,study_design,sample_size,mean_age,exposure_category,exposure_variable,exposure_type,clock_type,EAA_metric,effect_type,effect_value,CI_lower,CI_upper,SE,p_value,adjusted_model,covariates,study_design_clean,country_clean,SE_derived,effect_class,flag_eaa_as_exposure,flag_wrong_outcome,yi,sei,log_transformed,poolable_primary,poolable_pool_B_std,poolable_pool_C_OR,poolable_pool_D_HR,yi_sei_formula,conversion_notes,final_decision,decision_rationale
1-s2.0-S0013935125025368,Cristy Stagnar,2026,Environmental Research,UK,10.1016/j.envres.2025.123283,case-control,231,,paternal smoking,"father smoking status (smoking vs non-smoking), predominantly adolescent-onset smoking (<35 years, mostly puberty onset 10-19 years)",behavioral/lifestyle,Bohlin gestational age clock; Horvath clock; Intrinsic Epigenetic Age Acceleration (IEAA); DNAm-based telomere length estimator (DNAmTL),Intrinsic Epigenetic Age Acceleration (IEAA) residuals,odds ratio,2.4,1.16,4.99,,0.016,"Age restricted sample (fathers ≤35 years), no cell-type adjustment for methylation data; no socioeconomic status adjustment; sex stratification performed",sex stratification; paternal age ≤35 years; maternal non-smoking status; no adjustment for socioeconomic status,case-control,United Kingdom,0.9770408163265306,OR,False,False,0.8754687373538999,0.3721979348584578,True,False,False,True,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,OR; secondary pool C; yi=log(OR),OR,OR; secondary pool C; yi=log(OR)
1-s2.0-S0147651325019074,Hua Fang,2026,Ecotoxicology and Environmental Safety,USA,10.1016/j.ecoenv.2025.119562,cross-sectional,3577,,environmental toxicants,nicotine metabolites; metals; polyaromatic hydrocarbons (PAHs); perchlorate/nitrate/thiocyanate (P.N.T); volatile organic compound metabolites (VOCs); other compounds,biomarkers of environmental toxicants (urine and blood measurements),phenotypic age acceleration,phenotypic age acceleration (phenotypic age minus chronological age),adjusted odds ratio,2.16,1.35,3.45,,0.05,"adjusted for age, gender, race, family income-to-poverty ratio, education level, BMI, alcohol consumption, eGFR, survey month, survey cycle","age, gender (male/female), race (Non-Hispanic White/Non-Hispanic Black/Other), family income-to-poverty ratio (quartiles), education level (<High School/High School/>High School), BMI, alcohol consumption (Never/Former/Current), eGFR, survey month, survey cycle",cross-sectional,United States,0.5357142857142857,OR,False,False,0.7701082216960737,0.2393544996410536,True,False,False,True,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,Adjusted OR; secondary pool C; yi=log(OR),OR,Adjusted OR; secondary pool C; yi=log(OR)
12967_2025_Article_6492,Sheng,2025,Journal of Translational Medicine,USA,10.1186/s12967-025-06492-5,cross-sectional,2345,63.48,early-life smoking,"age of smoking initiation (ASI) and smoking initiation period (SIP: childhood 5-14 years, adolescence/adulthood >14 years, never smoked)",categorical (SIP) and continuous (ASI),DNAm PhenoAge; DunedinPoAm; HorvathTelo,"DNAm PhenoAge, DunedinPoAm, HorvathTelo",odds ratio,1.95,1.15,3.29,,0.013,"Model 3: adjusted for age, sex, race, education, BMI, lipid profile, hypertension, diabetes, and CKD","age, sex, race, education, BMI, lipid profile, hypertension, diabetes, CKD",cross-sectional,United States,0.5459183673469388,OR,False,False,0.6678293725756554,0.2681442914291127,True,False,False,True,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,OR; secondary pool C; yi=log(OR),OR,OR; secondary pool C; yi=log(OR)
41598_2024_Article_84957,Wen Zhao,2025,Scientific Reports,Europe,10.1038/s41598-024-84957-1,Two-sample Mendelian randomization,134710,,Sleep traits,Self-reported insomnia; accelerometer-measured sleep efficiency; number of sleep episodes,Genetic instrumental variables from GWAS,GrimAge; HannumAge; IEAA,Epigenetic age acceleration (EAA),Odds ratio,1.17,1.04,1.31,,0.007,"GWAS adjusted for age, sex, principal components of ancestry, genotyping array, and study-specific variables","Age, sex, 10 principal components of ancestry, genotyping array, genetic correlation matrix, study center, season when activity-monitor worn",Mendelian randomization,Europe,0.06887755102040817,OR,False,False,0.1570037488096647,0.05887918981116808,True,False,False,True,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,Logistic regression OR; secondary pool C; yi=log(OR),OR,Logistic regression OR; secondary pool C; yi=log(OR)
cancers-18-00111-v2,Shiqi Hui,2026,Cancers,USA,10.3390/cancers18010111,cross-sectional,16628,49.03,Dietary inflammation and oxidation,Dietary Inflammatory Index (DII); Dietary Oxidative Balance Score (DOBS); combined DII/DOBS diet category,dietary pattern scores,PhenoAge,PhenoAge acceleration,odds ratio,2.19,1.29,3.72,,0.004,"Fully adjusted model including gender, race, education level, PIR, BMI, cotinine, alcohol intake, energy intake, hypertension, diabetes, CHD, and survey year","gender, race, education level, poverty income ratio (PIR), BMI, cotinine, alcohol intake, energy intake, hypertension, diabetes, coronary heart disease (CHD), survey year",cross-sectional,United States,0.6198979591836735,OR,False,False,0.7839015438284094,0.2701738392631313,True,False,False,True,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,OR; secondary pool C; yi=log(OR),OR,OR; secondary pool C; yi=log(OR)
Penha_2026_BMC_Medicine,Penha,2026,BMC Medicine,"Australia, Sweden, Italy, Norway",10.1186/s12916-025-04542-9,Nested case-control studies within prospective cohorts,1480,56.5,Tobacco smoking,"Age-adjusted DNA methylation clocks (Hannum, PhenoAge, DunedinPACE, PCGrimAge), DNAm-inferred packyears",Biomarker (DNA methylation-based epigenetic clocks and smoking scores),"Chronological age clocks (Hannum), Mortality risk clocks (PhenoAge, DunedinPACE, PCGrimAge)",Age acceleration residuals (age-adjusted DNAm clocks),Odds ratio per 1 standard deviation increase,1.66,1.44,1.91,,0.001,"Adjusted for age, sex, cohort, detailed smoking information (duration, cigarettes per day, years since quitting), BMI, and DNAm-inferred immune cell proportions","Age, sex, cohort, smoking duration, cigarettes per day, years since quitting smoking, BMI, immune cell proportions (monocytes, NK, B, CD4T, CD8T cells)",Nested case-control studies within prospective cohorts,"Australia, Sweden, Italy, Norway",0.1198979591836735,OR,False,False,0.5068176023684519,0.07205615522209928,True,False,False,True,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,OR per SD; secondary pool C; yi=log(OR),OR,OR per SD; secondary pool C; yi=log(OR)
s12944-025-02446-4,Liu,2025,Lipids in Health and Disease,United States,10.1186/s12944-025-02446-4,Cross-sectional analysis of NHANES data,2580,38.65,Body fat area; insulin resistance; lipid levels,Visceral fat area (VFA); abdominal subcutaneous fat area (SFA); HOMA-IR; HDL-C,Continuous and categorical (quartiles for fat areas; thresholds for HOMA-IR and HDL-C),Phenotypic Age (PhenoAge),Phenotypic Age Acceleration (PhenoAgeAccel),Odds Ratio (OR) for PhenoAgeAccel,8.339,5.559,12.51,,0.001,"Model 3: adjusted for age, gender, race, exercise, alcohol use, smoking status, marital status, education level, income, HbA1c, and histories of hypercholesterolemia, hypertension, diabetes, and cardiovascular disease","Age, gender, race, exercise, alcohol use, smoking status, marital status, education level, income, HbA1c, history of hypercholesterolemia, hypertension, diabetes, cardiovascular disease",Cross-sectional analysis of NHANES data,United States,1.773214285714286,OR,False,False,2.120943305104849,0.2069158389049713,True,False,False,True,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,OR for dichotomized PhenoAgeAccel; secondary pool C; yi=log(OR),OR,OR for dichotomized PhenoAgeAccel; secondary pool C; yi=log(OR)
s41598-024-84957-1,Wen Zhao,2025,Scientific Reports,Europe,10.1038/s41598-024-84957-1,Two-sample Mendelian randomization,1341110,,Sleep traits,Self-reported insomnia; accelerometer-measured sleep efficiency; number of sleep episodes,Genetic instrumental variables from GWAS,GrimAge; HannumAge; IEAA,Epigenetic age acceleration,Odds ratio,1.17,1.04,1.31,,0.007,"Adjusted for age, sex, principal components of ancestry, genotyping array, and study-specific variables","Age, sex, 10 principal components of ancestry, genotyping array, genetic correlation matrix, study center, season when activity-monitor worn",Mendelian randomization,Europe,0.06887755102040817,OR,False,False,0.1570037488096647,0.05887918981116808,True,False,False,True,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,Logistic regression OR; secondary pool C; yi=log(OR),OR,Logistic regression OR; secondary pool C; yi=log(OR)
Wang_2025_Medicine,Wang,2025,Medicine,USA,10.1097/MD.0000000000046520,cross-sectional,10846,47.3,dietary flavones,"total flavones, apigenin, luteolin intake (mg/day, log-transformed and quartiles)",dietary intake,Phenotypic age (PhenoAge),PhenoAgeAccel (residuals of phenotypic age regressed on chronological age),odds ratio,0.904,0.859,0.953,,0.001,"Model 3: adjusted for age, sex, BMI, ethnicity, poverty status, education, physical activity, marital status, smoking, alcohol consumption, energy intake, depression, cardiovascular disease, hypertension, diabetes","age, sex, BMI, ethnicity, poverty status, education, physical activity, marital status, smoking status, alcohol consumption, energy intake, depression, cardiovascular disease, hypertension, diabetes",cross-sectional,United States,0.02397959183673469,OR,False,False,-0.1009259185899605,0.02649132185457825,True,False,False,True,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,OR; secondary pool C; yi=log(OR),OR,OR; secondary pool C; yi=log(OR)
Yang_2026_PhenoAgeAccel_MetS_Cancer_NHANES,Jiaxiang Yang,2026,The Aging Male,USA,10.1080/13685538.2026.2612796,cross-sectional,12664,,Metabolic syndrome,"Metabolic syndrome (MetS) defined by NCEP ATP III criteria (≥3 of 5 components: abdominal obesity, hypertriglyceridemia, low HDL-C, elevated blood pressure, elevated fasting glucose)",binary (MetS yes/no),PhenoAge,PhenoAge acceleration (PhenoAgeAccel) residual from regression of PhenoAge on chronological age,odds ratio,1.338,1.074,1.666,,0.01,"Model III: adjusted for age, gender, race, education, poverty-income ratio, marital status, smoking, alcohol consumption, BMI group, history of cardiovascular disease and diabetes","age, gender, race/ethnicity, education level, poverty-income ratio, marital status, smoking status, alcohol consumption, BMI group, history of cardiovascular disease, history of diabetes",cross-sectional,United States,0.1510204081632653,OR,False,False,0.2911759617060368,0.1119988641984637,True,False,False,True,False,yi = log(OR); sei = (log(CI_hi)-log(CI_lo))/3.92,OR; secondary pool C; yi=log(OR),OR,OR; secondary pool C; yi=log(OR)
