study_id,first_author,year,journal,country,doi,study_design,sample_size,mean_age,exposure_category,exposure_variable,exposure_type,clock_type,EAA_metric,effect_type,effect_value,CI_lower,CI_upper,SE,p_value,adjusted_model,covariates,study_design_clean,country_clean,SE_derived,effect_class,flag_eaa_as_exposure,flag_wrong_outcome,yi,sei,log_transformed,poolable_primary,poolable_pool_B_std,poolable_pool_C_OR,poolable_pool_D_HR,yi_sei_formula,conversion_notes,final_decision,decision_rationale
1-s2.0-S001393512502537X,Yueli Yao,2026,Environmental Research,Germany,10.1016/j.envres.2025.123284,longitudinal cohort,1646,53.9,air pollution,PM2.5; PM10; PNC; PMcoarse; PM2.5abs; NO2; NOx; O3,long-term annual average concentrations estimated by land-use regression models,DNAmHorvathAge; DNAmHannumAge; DNAmPhenoAge; DNAmGrimAge; DNAmSkinBloodAge; DNAmTL,"age acceleration (difference between epigenetic clock age and chronological age) for all clocks except DNAmTL (native scale, percent change)",absolute change in epigenetic age acceleration per IQR increase in air pollutant concentration,0.12,0.05,0.19,,0.001,"full model including age, sex, estimated Houseman cell types, visit indicator, smoking status, alcohol consumption, physical activity, educational attainment, BMI, hypertension, diabetes, HDL, LDL","age, sex, white blood cell proportions (monocytes, natural killer cells, CD4+ T cells, CD8+ T cells, B cells), visit, smoking status, alcohol consumption, physical activity, education, BMI, hypertension, diabetes, HDL, LDL",cohort,Germany,0.03571428571428572,BETA_UNSTD,False,False,0.12,0.03571428571428572,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per IQR; note IQR-scaled exposure,BETA_UNSTD,Years per IQR; note IQR-scaled exposure
1-s2.0-S0013935125026246,Zuo,2026,Environmental Research,Netherlands,10.1016/j.envres.2025.123371,cross-sectional,1622,46.0,occupational pesticide exposure,general pesticides; herbicides; insecticides; fungicides,occupational exposure assessed by ALOHA+ job exposure matrix,Horvath; Hannum; Skin & Blood; PhenoAge; GrimAge; DunedinPACE; DNAmTL,epigenetic age acceleration residuals from regression on chronological age,beta coefficient (years of age acceleration),1.15,0.18,2.11,,0.05,"adjusted for age, sex, education, income, smoking status, co-exposure to dusts and solvents; inverse probability weighting applied","age, sex, education level, income, smoking status, co-exposure to dusts and solvents",cross-sectional,Netherlands,0.4923469387755102,BETA_UNSTD,False,False,1.15,0.4923469387755102,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years; primary metric,BETA_UNSTD,Years; primary metric
1-s2.0-S0160412022004287,Baranyi,2022,Environment International,"Scotland, UK",10.1016/j.envint.2022.107501,Longitudinal cohort study,525,72.47,Air pollution,"Composite air quality index (AQI) based on PM2.5, SO2, NO2, O3 at multiple life-course time points (1935, 1950, 1970, 1980, 1990, 2001)",Ambient air pollution exposure estimated from residential history linked to atmospheric chemistry transport model,"Horvath DNAmAge, Hannum DNAmAge, DNAm PhenoAge, DNAm GrimAge, DNAm telomere length (DNAmTL)",Epigenetic age acceleration (years) and DNAm telomere length (kilobase),Regression coefficient (beta),0.322,0.088,0.555,,0.001,"Adjusted for age, sex, parental occupational social class, childhood smoking, years spent in education, adult smoking, adult occupational social class, BMI at age 70, white blood cell proportions, and technical variables","Age, sex, parental occupational social class, childhood smoking, years spent in education, adult smoking, adult occupational social class, BMI at age 70, white blood cell proportions, technical variables (array position, plate, experiment set)",Longitudinal cohort study,United Kingdom,0.1191326530612245,BETA_UNSTD,False,False,0.322,0.1191326530612245,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear regression beta,BETA_UNSTD,Linear regression beta
1-s2.0-S0531556525003468,Hye-Young Park,2026,Experimental Gerontology,South Korea,10.1016/j.exger.2025.113017,Longitudinal cohort study,1452,59.7,Metabolic syndrome severity,MetS severity score (0-5 based on diagnostic criteria count),Continuous,"PhenoAge, GrimAge2, DunedinPACE","Epigenetic age acceleration residuals for PhenoAge (PhenoAA), GrimAge2 (Grim2AA), and DunedinPACE (% pace of aging)",Beta coefficient,0.25,0.04,0.47,,0.0214,"Adjusted for chronological age, sex, education, smoking status, drinking status, physical activity, BMI, income","Chronological age, sex, education, smoking status, drinking status, physical activity, BMI, income",Longitudinal cohort study,South Korea,0.1096938775510204,BETA_UNSTD,False,False,0.25,0.1096938775510204,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear regression beta,BETA_UNSTD,Linear regression beta
1-s2.0-S1279770726000072,Xinyu Zhang,2026,"The Journal of Nutrition, Health and Aging",USA,10.1016/j.jnha.2026.100776,cross-sectional,15050,51.0,vitamin intake,"mixture of 11 dietary vitamins (A, B1, B2, B3, B6, B9, B12, C, D, E, K); total vitamin intake",dietary intake plus supplements,Klemera-Doubal method biological age (KDM-BA); PhenoAge; homeostatic dysregulation (HD),KDM-acceleration; PhenoAge-acceleration; HD,beta coefficient (linear regression),-1.281,-2.033,-0.53,,0.001,"Model 4: adjusted for age, sex, race, educational level, marital status, poverty income ratio, BMI, smoking status, alcohol consumption, physical activity level, daily energy intake, supplement use, comorbidity","age, sex, race, educational level, marital status, poverty income ratio, BMI, smoking status, alcohol consumption, physical activity level, daily energy intake, supplement use, comorbidity (hypertension, diabetes, cardiovascular diseases, cancer)",cross-sectional,United States,0.3834183673469387,BETA_UNSTD,False,False,-1.281,0.3834183673469387,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear beta,BETA_UNSTD,Linear beta
1-s2.0-S1279770726000096,Kai Wei,2026,"The Journal of Nutrition, Health and Aging",USA,10.1016/j.jnha.2026.100778,cross-sectional,12806,,marijuana use,current marijuana use (past 30 days) vs never use,self-reported marijuana use status,PhenoAge; KD-BioAge,"residuals from linear regression of biological age on chronological age (PhenoAgeAccel, KD-BioAgeAccel)",regression coefficient (β),0.72,0.41,1.02,,0.001,"fully adjusted model controlling for demographic, socioeconomic, lifestyle, and clinical factors","age, sex, race/ethnicity, marital status, education, family income, smoking, alcohol consumption, illicit drug use, physical activity, cardiovascular diseases, hypertension, diabetes, arthritis, cancer, prescription medicines use",cross-sectional,United States,0.1556122448979592,BETA_UNSTD,False,False,0.72,0.1556122448979592,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear beta,BETA_UNSTD,Linear beta
1-s2.0-S2589004225026446,Yu,2026,iScience,Sweden,10.1016/j.isci.2025.114383,longitudinal repeated-measurement cohort,807,25.9,ambient temperature,short-term ambient temperature exposure (daily individual-address level),environmental,inflammation-related proteomic aging clock,proteomic age acceleration,mean difference,0.05,0.03,0.1,,0.001,"adjusted for age, sex, long time trend (natural spline with 6 df), phases, day of week, season, history of SARS-CoV-2 infection, vaccination status","age, sex, long time trend, phases, day of week, season, SARS-CoV-2 infection history, vaccination status",longitudinal repeated-measurement cohort,Sweden,0.01785714285714286,BETA_UNSTD,False,False,0.05,0.01785714285714286,False,True,False,False,False,yi = beta; sei = SE derived from CI,Mean difference — assume years given EAA context,BETA_UNSTD,Mean difference — assume years given EAA context
10522_2025_Article_10195,Wu,2025,Biogerontology,Taiwan,10.1007/s10522-025-10195-1,cross-sectional,2474,49.75,Lifestyle factors; physiological conditions,"Smoking; BMI; waist-hip ratio; hemoglobin A1c; HDL-C; creatinine; uric acid; gamma-glutamyl transferase; hemoglobin; cell-type proportions (B lymphocytes, natural killer cells, CD4+ T cells, CD8+ T cells, monocytes)",self-reported lifestyle and measured physiological biomarkers,GrimAge (version 2),GrimEAA (AgeAccelGrim2),regression coefficient (beta),5.1756,4.7985,5.5527,0.1923,0.001,"Adjusted for sex, BMI, waist-hip ratio, smoking, HbA1c, HDL-C, creatinine, uric acid, GGT, hemoglobin, and five cell-type proportions","Sex, BMI, waist-hip ratio, smoking status, hemoglobin A1c, HDL-C, creatinine, uric acid, gamma-glutamyl transferase, hemoglobin, B lymphocytes, natural killer cells, CD4+ T cells, CD8+ T cells, monocytes",cross-sectional,Taiwan,0.1923,BETA_UNSTD,False,False,5.1756,0.1923,False,True,False,False,False,yi = beta; sei = SE from paper,Linear beta,BETA_UNSTD,Linear beta
13148_2019,Sillanpää,2019,Clinical Epigenetics,Finland,10.1186/s13148-019-0613-5,Twin study with quantitative genetic modeling and co-twin control analysis,1249,,Leisure-time physical activity,"Long-term leisure-time physical activity discordance (MET hours/day), physical activity indexes (sport, leisure-time, work indices)",Behavioral,Horvath's DNA methylation age,Age acceleration residuals from linear regression of DNAm age on chronological age,Mean difference in DNAm age acceleration between active and inactive co-twins,-1.17,-3.43,1.1,,0.641,"Adjusted for sex, smoking status, and BMI","Sex, smoking (never, former, current), BMI",Twin study with quantitative genetic modeling and co-twin control analysis,Finland,1.155612244897959,BETA_UNSTD,False,False,-1.17,1.155612244897959,False,True,False,False,False,yi = beta; sei = SE derived from CI,Twin-design mean difference in years,BETA_UNSTD,Twin-design mean difference in years
13148_2024_Article_1706,Lee,2024,Clinical Epigenetics,South Korea,10.1186/s13148-024-01706-x,cohort,692,54.0,sleep quality,Pittsburgh Sleep Quality Index (PSQI) global score,continuous,GrimAgeAccel; DunedinPACE,epigenetic age acceleration,beta coefficient,0.167,,,0.066,0.0116,"Model 2: adjusted for chronological age, sex, smoking status, drinking status, BMI","chronological age, sex, smoking status, drinking status, BMI",cohort,South Korea,0.066,BETA_UNSTD,False,False,0.167,0.066,False,True,False,False,False,yi = beta; sei = SE from paper,Linear beta,BETA_UNSTD,Linear beta
