study_id,first_author,year,journal,country,doi,study_design,sample_size,mean_age,exposure_category,exposure_variable,exposure_type,clock_type,EAA_metric,effect_type,effect_value,CI_lower,CI_upper,SE,p_value,adjusted_model,covariates,study_design_clean,country_clean,SE_derived,effect_class,flag_eaa_as_exposure,flag_wrong_outcome,yi,sei,log_transformed,poolable_primary,poolable_pool_B_std,poolable_pool_C_OR,poolable_pool_D_HR,yi_sei_formula,conversion_notes,final_decision,decision_rationale
1-s2.0-S0167494325003152,Jian Xu,2026,Archives of Gerontology and Geriatrics,USA,10.1016/j.archger.2025.106058,Cross-sectional analysis of NHANES 2015-2016 data with interpretable machine learning,1693,,Environmental chemical mixtures,"Blood toluene (B_TOL); urinary benzene metabolite (U_DHB); urinary benzophenone-3 (U_BP3); urinary 1,4-Dichlorobenzene (U_14D); urinary total arsenic (U_tAs); urinary 1-Hydroxynaphthalene (U_1-OH–NAP); urinary Dimethylthiophosphate (U_DMTP)","Chemical biomarker concentrations (blood and urine), log-transformed and creatinine-corrected",Klemera-Doubal Method Biological Age (KDM-BA); PhenoAge,Residuals from linear regression of biological age on chronological age (KDM-BA-Accel and PhenoAge-Accel),Machine learning model variable importance and interaction effects; linear regression interaction term for diabetes and blood toluene,-2.08,-3.48,-0.68,,0.004,"Multivariate linear regression adjusted for age, gender, race/ethnicity, poverty-to-income ratio, education, marital status, smoking status, drinking status, BMI, total energy intake, physical activity, hypertension, diabetes","Age, gender, race/ethnicity, poverty-to-income ratio, education level, marital status, smoking status, drinking status, BMI, total energy intake, physical activity, hypertension, diabetes",Cross-sectional analysis of NHANES 2015-2016 data with interpretable machine learning,United States,0.7142857142857143,NEEDS_REVIEW,False,False,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,ML variable importance is not a standard effect size; linear interaction term may be extractable — check paper,EXCLUDED_QUALITATIVE,"Interaction term from ML model: not a main effect, not poolable"
1-s2.0-S0168822725010204,Gou,2026,Diabetes Research and Clinical Practice,USA,10.1016/j.diabres.2025.113005,cross-sectional,8354,45.86,Urological age (UA); Urological age acceleration (UAA),UA and UAA as continuous and categorical variables,biological age acceleration markers derived from urinary biomarkers,Urological age (UA) calculated by Klemera-Doubal (KD) method,Urological age acceleration (UAA) = UA - chronological age,Odds Ratio (OR) for MetS-ATP per unit increase in UA and UAA,1.035,1.03,1.04,,0.001,"Model 4: Adjusted for Age, Ethnic/race, Marital status, Family income to poverty ratio, Alcohol consumption, Smoking status, Physical activity, Depression","Age, Ethnic/race, Marital status, Family income to poverty ratio, Alcohol consumption, Smoking status, Physical activity, Depression",cross-sectional,United States,0.002551020408163268,NEEDS_REVIEW,True,True,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,WRONG DIRECTION: EAA (UA/UAA) is EXPOSURE predicting MetS — exclude from primary,EXCLUDED_WRONG_DIRECTION,EAA is exposure predicting MetS — reversed direction
1-s2.0-S1279770726000060,Shuai Xiang,2026,"The Journal of Nutrition, Health and Aging",United Kingdom,10.1016/j.jnha.2026.100775,prospective cohort,292639,55.86,PhenoAgeAccel,Phenotypic age acceleration (PhenoAgeAccel) derived from clinical biomarkers,biological aging metric (phenotypic age acceleration),PhenoAge (phenotypic clock based on clinical biomarkers),PhenoAgeAccel (residual of PhenoAge regressed on chronological age),hazard ratio per 5-year increase in PhenoAgeAccel,1.36,1.3,1.42,,0.0001,"Model 2: adjusted for chronological age, gender, ethnicity, Townsend deprivation index, BMI, education level, smoking status, alcohol consumption, regular physical activity, acid-inhibitor use, history of hypertension, history of diabetes, comorbidities, genotyping batch, and top 10 genetic principal components","chronological age, gender, ethnicity, Townsend deprivation index, BMI, education level, smoking status, alcohol consumption, physical activity, acid-inhibitor use, hypertension, diabetes, comorbidities, genotyping batch, genetic principal components",cohort,United Kingdom,0.03061224489795916,NEEDS_REVIEW,True,True,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,WRONG DIRECTION: EAA (PhenoAgeAccel) is EXPOSURE — exclude,EXCLUDED_WRONG_DIRECTION,EAA (PhenoAgeAccel) is predictor — reversed direction
11357_2025,Mendy,2025,GeroScience,USA,10.1007/s11357-025-01604-x,prospective cohort,2105,63.96,Epigenetic age acceleration,"Horvath, Hannum, SkinBlood, Pheno, Zhang, Lin, Weidner, Vidal-Bralo, GrimAge2 clocks; DunedinPoAm pace of aging",Epigenetic age acceleration residuals from regression on chronological age,"First, second, and third generation epigenetic clocks",Residuals of epigenetic age regressed on chronological age,Hazard ratio per 5-year increase in EAA (10% increase for DunedinPoAm),1.51,1.33,1.7,,0.0001,"Adjusted for chronological age, poverty income ratio, pack-years of cigarette smoking, white blood cell composition (continuous); sex, race/ethnicity, smoking status, BMI, physical activity, asthma, diabetes, hypertension (categorical)","Chronological age, poverty income ratio, pack-years smoking, WBC composition, sex, race/ethnicity, smoking status, BMI, physical activity, asthma, diabetes, hypertension",cohort,United States,0.09438775510204078,NEEDS_REVIEW,True,True,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,WRONG DIRECTION: EAA is EXPOSURE predicting outcome (mortality/disease) — exclude,EXCLUDED_WRONG_DIRECTION,EAA predicts mortality — reversed direction
12916_2024,Magnus,2024,BMC Medicine,Norway,10.1186/s12916-024-03780-7,population-based pregnancy cohort study,2198,30.1,epigenetic age acceleration,"maternal epigenetic age acceleration (7 clocks: Hannum, Horvath, Levine, PCGrimAge, DNAmTL, DunedinPACE)",biological age acceleration residuals standardized to Z-scores,"Hannum, Horvath, Levine, PCGrimAge, DNAmTL, DunedinPACE",standard deviation increase in epigenetic age acceleration residuals,mean difference in gestational length (days) per SD increase in maternal epigenetic age acceleration,-0.8,-1.29,-0.31,,0.002,"adjusted for chronological age, parity, education, smoking, BMI","chronological age, parity, educational level, smoking status, BMI, diabetes, chronic hypertension, cell type proportions, gestational week of blood sampling",population-based pregnancy cohort study,Norway,0.25,NEEDS_REVIEW,True,True,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,WRONG DIRECTION: EAA is exposure; outcome is gestational length — exclude from primary,EXCLUDED_WRONG_DIRECTION,EAA is exposure; outcome is gestational length
13148_2023_Article_1512,Chang,2023,Clinical Epigenetics,Taiwan,10.1186/s13148-023-01512-x,observational mediation analysis,2474,49.4,smoking,current smoking status; current smokers' pack-years; former smoking status; former smokers' pack-years; years since smoking cessation,self-reported smoking variables,HannumEAA; IEAA; PhenoEAA; GrimEAA; DunedinPACE; DNAm-based smoking pack-years; DNAm PAI-1 levels,epigenetic age acceleration (EAA) measures and DNAm markers,mediation effect,0.2381,0.1457,0.3392,,0.001,"adjusted for chronological age, sex, BMI, drinking status, regular exercise status, educational attainment, and five cell-type proportions","chronological age, sex, BMI, drinking status, regular exercise status, educational attainment, B lymphocytes, CD4+ T cells, CD8+ T cells, monocytes, natural killer cells",observational mediation analysis,Taiwan,0.04936224489795919,NEEDS_REVIEW,False,False,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,Indirect (mediation) effect — not directly poolable with direct associations; narrative synthesis,EXCLUDED_QUALITATIVE,Mediation indirect effect: not poolable with direct associations
13148_2025_Article_1919,Ou,2025,Clinical Epigenetics,USA,10.1186/s13148-025-01919-8,Cross-sectional and prospective,284,67.57,Epigenetic age acceleration,GrimAgeAccel; GrimAge2Accel,Biological age acceleration,GrimAge; GrimAge2,Epigenetic age acceleration residuals,Hazard ratio,1.075,1.043,1.107,,0.0001,Adjusted for age and sex,"Age, sex",Cross-sectional and prospective,United States,0.01632653061224491,HR,True,False,0.07232066157962608,0.01519195859894502,True,False,False,False,False,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox model HR; secondary pool D; yi=log(HR),EXCLUDED_WRONG_DIRECTION,Cox model HR; secondary pool D; yi=log(HR)
41514_2025_Article_265,Yang Pan,2025,npj Aging,USA,10.1038/s41514-025-00265-6,Cross-sectional observational study with two-sample Mendelian randomization,1252,48.2,Epigenetic age acceleration,HannumAA; PhenoAA; GrimAA; IEAA,Blood-derived DNA methylation-based epigenetic age acceleration measures,"Horvath's DNA methylation age calculator (IEAA, HannumAA, PhenoAA, GrimAA)",Standard deviation increase in epigenetic age acceleration,Beta coefficient (standardized effect size),-0.147,-0.211,-0.083,,0.001,"Model 3: adjusted for age, sex, race, education, smoking, alcohol, depression, BMI, HbA1c, LDL-C, blood pressure, diabetes, hypertension and lipid medications, and log-transformed white blood cell count","Age, sex, race, education, smoking status, alcohol consumption, depression, BMI, HbA1c, LDL cholesterol, systolic blood pressure, diabetes medication, hypertension medication, lipid-lowering medication, white blood cell count",Cross-sectional observational study with two-sample Mendelian randomization,United States,0.0326530612244898,BETA_STD,True,False,-0.147,0.0326530612244898,False,False,False,False,False,yi = std_beta (SD units); sei = SE derived from CI,Standardized beta; SD units; sensitivity pool B,EXCLUDED_WRONG_DIRECTION,Standardized beta; SD units; sensitivity pool B
biology-14-01668,Kallio,2025,Biology,Russia,10.3390/biology14121668,observational cross-sectional,445,,environmental conditions and urbanization,"extreme cold climate (Yakutia) vs milder climate (Nizhny Novgorod region) and urbanization level (metropolis, industrial city, small towns)",environmental and urbanization factors,Levine PhenoAge,difference between biological age and predicted age from general regression model,effect size (rbc) for age acceleration difference between regions,-0.265,-0.154,0.14,,0.00062,general regression model constructed for all study groups; biological age calculated using PhenoAge model based on 9 blood parameters and chronological age,"age, sex (female predominance), region of residence; exclusion of acute/chronic diseases, pregnancy",cross-sectional,Russia,0.07500000000000001,NEEDS_REVIEW,False,False,,,False,False,False,False,False,NOT COMPUTED — requires manual adjudication,Rank-biserial correlation (rbc); non-standard — convert to d = 2r/sqrt(1-r²) if needed; review,EXCLUDED_QUALITATIVE,Rank-biserial rbc: non-standard metric + CI inconsistent with point estimate
ebiom106005,Sun,2025,eBioMedicine,United Kingdom,10.1016/j.ebiom.2025.106005,longitudinal cohort study and Mendelian randomization,322640,58.0,biological aging; unhealthy lifestyle factors,PhenoAge acceleration; HD score; smoking; alcohol drinking; unhealthy diet; inadequate physical activity; unhealthy lifestyle index,biomarker-based biological aging measures and lifestyle factors,"PhenoAge, HD score, DNAm GrimAge, DNAm Hannum, DNAm PhenoAge, DNAm IEAA","PhenoAge acceleration; HD score; epigenetic age acceleration (DNAm GrimAge, Hannum, PhenoAge, IEAA)",hazard ratio,1.07,1.04,1.1,,5e-06,"adjusted for age at recruitment, sex, education, smoking status, alcohol consumption, diet, physical activity, Townsend deprivation index, household income, BMI, diabetes, hypertension, coronary artery disease","age, sex, education, smoking, alcohol, diet, physical activity, socioeconomic status, BMI, diabetes, hypertension, coronary artery disease",longitudinal cohort study and Mendelian randomization,United Kingdom,0.01530612244897961,HR,True,False,0.06765864847381486,0.01430853741098051,True,False,False,False,False,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox HR; secondary pool D; yi=log(HR),EXCLUDED_WRONG_DIRECTION,Cox HR; secondary pool D; yi=log(HR)
