"study_id","first_author","year","journal","country","doi","study_design","sample_size","mean_age","exposure_category","exposure_variable","exposure_type","clock_type","EAA_metric","effect_type","effect_value","CI_lower","CI_upper","SE","p_value","adjusted_model","covariates","conversion_method","yi","sei"
"","Spartano","2023","Med Sci Sports Exerc","USA","10.1249/MSS.0000000000003041","cross-sectional","2435.0","54.9","Physical activity and sedentary time","['moderate to vigorous physical activity (MVPA)', 'steps per day', 'sedentary time']","accelerometer-measured","['Hannum', 'Horvath', 'GrimAge', 'EEAA', 'IEAA', 'AdjGrimAge']","['extrinsic epigenetic age acceleration (EEAA)', 'intrinsic epigenetic age acceleration (IEAA)', 'adjusted GrimAge (AdjGrimAge)']","standardized beta","{'MVPA_EEAA': -0.06, 'MVPA_GrimAge': -0.105, 'MVPA_AdjGrimAge': -0.069, 'steps_GrimAge': -0.067, 'steps_AdjGrimAge': -0.065}","","","{'MVPA_EEAA': 0.023, 'MVPA_GrimAge': 0.02, 'MVPA_AdjGrimAge': 0.02, 'steps_GrimAge': 0.018, 'steps_AdjGrimAge': 0.019}","{'MVPA_EEAA': 0.009, 'MVPA_GrimAge': '<0.001', 'MVPA_AdjGrimAge': '<0.001', 'steps_GrimAge': '<0.001', 'steps_AdjGrimAge': '<0.001'}","Adjusted for age, sex, smoking status, cohort-laboratory indicator, accelerometer wear time; additional models adjusted for BMI","['age', 'sex', 'smoking status', 'cohort-laboratory indicator', 'accelerometer wear time', 'BMI (in secondary models)']","Epigenetic age residuals calculated by regressing epigenetic age on chronological age; blood cell composition adjustments for EEAA, IEAA, AdjGrimAge","",""
"1-s2.0-S0002916524007305","Laura Bordoni","2024","The American Journal of Clinical Nutrition","Netherlands","10.1016/j.ajcnut.2024.08.033","observational","760.0","46.1","diet quality; processed food consumption; dietary glycemic load; vitamin intake","LifeLines Diet Score (LLDS); NOVA food classification groups 1 and 4; dietary glycemic load; adequacy of vitamins B-9, B-12, B-2, B-6, and C intake","dietary intake","Horvath; Hannum; Levine (PhenoAge); Horvath2","epigenetic age acceleration (EAA) calculated as difference between DNAm age and chronological age","beta coefficient","-0.148","","","","0.0001","adjusted for sex, energy intake, body composition (waist-to-hip ratio), and caloric surplus over basal metabolic rate (kcal/BMR)","sex, energy intake, body composition (WHR), kcal/BMR","","-0.148",""
"1-s2.0-S0147651324008996","Dong-Wook Lee","2024","Ecotoxicology and Environmental Safety","Republic of Korea","10.1016/j.ecoenv.2024.116823","prospective birth cohort","76.0","6.0","Air pollution","PM2.5, PM10, CO, O3 during pregnancy and one year before age six","ambient air pollutant concentrations estimated by residential address","Horvath's clock; Horvath's skin and blood clock; PedBE clock; Wu's clock","epigenetic age acceleration (residuals of DNA methylation age regressed on chronological age adjusted for cell counts)","beta coefficient (years increase in EAA per IQR increase in pollutant)","0.406","0.031","0.782","","0.05","adjusted for maternal age at birth, maternal education level, birth weight, gestational age, multiple births, and season of birth","child sex, multiple births, season of birth, maternal age at birth, maternal education, maternal pre-pregnancy BMI, birthweight, preterm birth","EAA calculated as residuals from regression of DNA methylation age on chronological age adjusted for cell counts","0.406",""
"1-s2.0-S0160412022004287","Baranyi","2022","Environment International","Scotland, UK","10.1016/j.envint.2022.107501","Longitudinal cohort study","525.0","72.47","Air pollution","Composite air quality index (AQI) based on PM2.5, SO2, NO2, O3 at multiple life-course time points (1935, 1950, 1970, 1980, 1990, 2001)","Ambient air pollution exposure estimated from residential history linked to atmospheric chemistry transport model","Horvath DNAmAge, Hannum DNAmAge, DNAm PhenoAge, DNAm GrimAge, DNAm telomere length (DNAmTL)","Epigenetic age acceleration (years) and DNAm telomere length (kilobase)","Regression coefficient (beta)","0.322","0.088","0.555","","0.001","Adjusted for age, sex, parental occupational social class, childhood smoking, years spent in education, adult smoking, adult occupational social class, BMI at age 70, white blood cell proportions, and technical variables","Age, sex, parental occupational social class, childhood smoking, years spent in education, adult smoking, adult occupational social class, BMI at age 70, white blood cell proportions, technical variables (array position, plate, experiment set)","","0.322",""
"Sullivan_2023_PsychologicalScience","Sullivan","2023","Psychological Science","United States","10.1177/09567976231194221","Randomized controlled trial (RCT) with DNA substudy","62.0","36.26","Parenting practices and cumulative adversity","Cumulative risk index (parent, family, neighborhood-level adversity) and observed positive and negative parenting behaviors","Behavioral and environmental","Pediatric Buccal Epigenetic (PedBE) clock","Residuals of PedBE epigenetic age regressed on chronological age, adjusted for cell-type proportions","Interaction effect (moderation)","-0.15","-1.09","-0.26","0.21","0.001","Adjusted for Time 1 parenting levels and child biological sex","Child biological sex, Time 1 observed parenting","","-0.68","0.21"
"10522_2025_Article_10195","Wu","2025","Biogerontology","Taiwan","10.1007/s10522-025-10195-1","cross-sectional","2474.0","49.75","Lifestyle factors; physiological conditions","Smoking; BMI; waist-hip ratio; hemoglobin A1c; HDL-C; creatinine; uric acid; gamma-glutamyl transferase; hemoglobin; cell-type proportions (B lymphocytes, natural killer cells, CD4+ T cells, CD8+ T cells, monocytes)","self-reported lifestyle and measured physiological biomarkers","GrimAge (version 2)","GrimEAA (AgeAccelGrim2)","regression coefficient (beta)","5.1756","4.7985","5.5527","0.1923","0.001","Adjusted for sex, BMI, waist-hip ratio, smoking, HbA1c, HDL-C, creatinine, uric acid, GGT, hemoglobin, and five cell-type proportions","Sex, BMI, waist-hip ratio, smoking status, hemoglobin A1c, HDL-C, creatinine, uric acid, gamma-glutamyl transferase, hemoglobin, B lymphocytes, natural killer cells, CD4+ T cells, CD8+ T cells, monocytes","Best-subset regression model selected by smallest AIC","5.1756","0.1923"
"11357_2024","García-delaTorre","2024","GeroScience","Mexico","10.1007/s11357-024-01095-2","cross-sectional","47.0","69.02","mild COVID-19 infection","mild COVID-19 symptoms","infection status","GrimAge; IEAA; EEAA","epigenetic age acceleration","mean difference in epigenetic age acceleration","","","","","","linear regression adjusted for age and sex","age, sex; clinical variables including T2D, multimorbidity, smoking, hypertension","","",""
"11357_2024_Article_1408","Haoxin Tina Zheng","2025","GeroScience","Australia","10.1007/s11357-024-01408-5","prospective cohort with cross-sectional and longitudinal analyses","6208.0","58.8","Physical activity","Physical activity score (log-transformed and standardized z-score), MET hours/week at follow-up","Self-reported physical activity (walking, vigorous, non-vigorous activities)","PCPhenoAge, PCGrimAge, bAge, DNAmFitAge, DunedinPACE","Age-adjusted and standardized residuals of epigenetic age measures","Standardized beta coefficient (per 1 SD increase in physical activity score)","-0.07","-0.09","-0.04","","2e-08","Model 1: adjusted for age, sex, country of birth","Age, sex, country of birth, SEIFA score, smoking status, smoking pack-years (log-transformed), alcohol consumption (spline), AHEI-2010 diet score, BMI (spline)","Physical activity scores log-transformed as ln(score+1) and standardized to z-scores; epigenetic age residuals regressed on chronological age and standardized","-0.07",""
"11357_2025","Mendy","2025","GeroScience","USA","10.1007/s11357-025-01604-x","prospective cohort","2105.0","63.96","Epigenetic age acceleration","Horvath, Hannum, SkinBlood, Pheno, Zhang, Lin, Weidner, Vidal-Bralo, GrimAge2 clocks; DunedinPoAm pace of aging","Epigenetic age acceleration residuals from regression on chronological age","First, second, and third generation epigenetic clocks","Residuals of epigenetic age regressed on chronological age","Hazard ratio per 5-year increase in EAA (10% increase for DunedinPoAm)","1.51","1.33","1.7","","0.0001","Adjusted for chronological age, poverty income ratio, pack-years of cigarette smoking, white blood cell composition (continuous); sex, race/ethnicity, smoking status, BMI, physical activity, asthma, diabetes, hypertension (categorical)","Chronological age, poverty income ratio, pack-years smoking, WBC composition, sex, race/ethnicity, smoking status, BMI, physical activity, asthma, diabetes, hypertension","EAA calculated as residuals from regression of epigenetic age on chronological age","0.413","0.054"
"12916_2023","Yaskolka Meir","2023","BMC Medicine","Israel","10.1186/s12916-023-03067-3","randomized controlled trial","256.0","51.3","dietary intervention","Mediterranean diet; Green-MED diet; polyphenol intake (green tea, Mankai, walnuts)","dietary","Li mAge; Hannum mAge; Horvath mAge; Horvath skin and blood; PhenoAge; PCGrimAge; DunedinPACE","methylation age residuals; intrinsic epigenetic age acceleration (IEAA); DunedinPACE","beta coefficient","-0.41","","","","0.004","multivariate model adjusted for age, sex, baseline mAge, and weight loss","age, sex, baseline methylation age, weight loss","","-0.41",""
"12916_2024","Magnus","2024","BMC Medicine","Norway","10.1186/s12916-024-03780-7","population-based pregnancy cohort study","2198.0","30.1","epigenetic age acceleration","maternal epigenetic age acceleration (7 clocks: Hannum, Horvath, Levine, PCGrimAge, DNAmTL, DunedinPACE)","biological age acceleration residuals standardized to Z-scores","Hannum, Horvath, Levine, PCGrimAge, DNAmTL, DunedinPACE","standard deviation increase in epigenetic age acceleration residuals","mean difference in gestational length (days) per SD increase in maternal epigenetic age acceleration","-0.8","-1.29","-0.31","","0.002","adjusted for chronological age, parity, education, smoking, BMI","chronological age, parity, educational level, smoking status, BMI, diabetes, chronic hypertension, cell type proportions, gestational week of blood sampling","linear regression residuals of epigenetic age on chronological age, standardized to Z-scores","-0.8",""
"Penha_2026_BMCMed_12916_2025_Article_4542","Penha","2026","BMC Medicine","Australia, Sweden, Italy, Norway","10.1186/s12916-025-04542-9","Nested case-control studies within prospective cohorts","1480.0","56.5","Tobacco smoking","DNA methylation-based smoking scores and DNAm clocks (Hannum, PhenoAge, DunedinPACE, PCGrimAge)","Biomarker (DNA methylation age acceleration and smoking methylation scores)","Chronological age clocks (Hannum), Mortality risk clocks (PhenoAge, DunedinPACE, PCGrimAge)","Age-adjusted DNAm clocks residuals (age acceleration)","Odds ratio per 1 standard deviation increase in age-adjusted DNAm clock","1.66","1.44","1.91","","0.001","Adjusted for age, sex, cohort, detailed smoking metrics (smoking duration, cigarettes per day, years since quitting), immune cell proportions, BMI","Age, sex, cohort, smoking duration, cigarettes per day, years since quitting smoking, immune cell proportions (monocytes, NK, CD4T, CD8T, B cells), BMI","","0.507",""
"12967_2025_Article_6492","Sheng","2025","Journal of Translational Medicine","USA","10.1186/s12967-025-06492-5","cross-sectional","2345.0","63.48","early-life smoking","age of smoking initiation (ASI) and smoking initiation period (SIP: childhood 5-14 years, adolescence/adulthood >14 years, never smoked)","categorical (SIP) and continuous (ASI)","DNAm PhenoAge; DunedinPoAm; HorvathTelo","DNAm PhenoAge, DunedinPoAm, HorvathTelo","odds ratio","1.95","1.15","3.29","","0.013","Model 3: adjusted for age, sex, race, education, BMI, lipid profile, hypertension, diabetes, and CKD","age, sex, race, education, BMI, lipid profile, hypertension, diabetes, CKD","","0.667829","0.263978"
"13148_2019","Sillanpää","2019","Clinical Epigenetics","Finland","10.1186/s13148-019-0613-5","Twin study with quantitative genetic modeling and co-twin control analysis","1249.0","","Leisure-time physical activity","Long-term leisure-time physical activity discordance (MET hours/day), physical activity indexes (sport, leisure-time, work indices)","Behavioral","Horvath's DNA methylation age","Age acceleration residuals from linear regression of DNAm age on chronological age","Mean difference in DNAm age acceleration between active and inactive co-twins","-1.17","-3.43","1.1","","0.641","Adjusted for sex, smoking status, and BMI","Sex, smoking (never, former, current), BMI","Horvath's online DNAm age calculator using Illumina 450K and EPIC BeadChip data with BMIQ normalization","-1.17",""
"13148_2022","Klopack","2022","Clinical Epigenetics","USA","10.1186/s13148-022-01286-8","Cross-sectional with mediation analysis using Structural Equation Modeling","2978.0","67.65","Smoking exposure","Parental smoking, smoking in youth, adult pack years","Lifetime smoking exposure (parental smoking, youth smoking, adult pack years)","GrimAgeAdj, PhenoAgeAdj, DunedinPoAm38Adj","Age acceleration residuals (GrimAgeAdj, PhenoAgeAdj) and pace of aging (DunedinPoAm38Adj)","Regression coefficient (years increase in epigenetic age acceleration per pack year or smoking status)","0.09","","","","0.001","Models adjusted for age, sex, race/ethnicity, education, wealth, BMI, alcohol use","Age, sex, race/ethnicity, education, wealth, BMI, alcohol use","","0.09",""
"Bozack_2023_ClinicalEpigenetics_13148_2023_Article_1480","Bozack","2023","Clinical Epigenetics","","10.1186/s13148-023-01480-2","pre-birth cohort","485.0","","maternal smoking during pregnancy","maternal smoking during pregnancy (vs. never smokers)","environmental/behavioral","skin & blood clock","epigenetic age acceleration (EAA) at birth","beta coefficient (weeks)","1.17","-0.09","2.42","","0.05","mutually adjusted robust linear regression controlling for estimated cell type proportions","maternal age, pre-pregnancy BMI, education, prenatal smoking, newborn sex, preterm birth, birth weight for GA z-score, self-reported race/ethnicity, estimated cell type proportions","","1.17",""
"13148_2023_Article_1512","Chang","2023","Clinical Epigenetics","Taiwan","10.1186/s13148-023-01512-x","observational mediation analysis","2474.0","49.4","smoking","current smoking status; current smokers' pack-years; former smoking status; former smokers' pack-years; years since smoking cessation","self-reported smoking variables","HannumEAA; IEAA; PhenoEAA; GrimEAA; DunedinPACE; DNAm-based smoking pack-years; DNAm PAI-1 levels","epigenetic age acceleration (EAA) measures and DNAm markers","mediation effect","0.2381","0.1457","0.3392","","0.001","adjusted for chronological age, sex, BMI, drinking status, regular exercise status, educational attainment, and five cell-type proportions","chronological age, sex, BMI, drinking status, regular exercise status, educational attainment, B lymphocytes, CD4+ T cells, CD8+ T cells, monocytes, natural killer cells","","0.2381",""
