PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39342289","Associations of healthy eating patterns with biological aging: national health and nutrition examination survey (NHANES) 1999-2018","Wang X, Yan X, Zhang J, Pan S, Li R, Cheng L, Qi X, Li L, Li Y.","Nutr J. 2024 Sep 28;23(1):112. doi: 10.1186/s12937-024-01017-0.","Wang X","Nutr J","2024","2024/09/28","PMC11439248","","10.1186/s12937-024-01017-0"
"30669119","DNA methylation GrimAge strongly predicts lifespan and healthspan","Lu AT, Quach A, Wilson JG, Reiner AP, Aviv A, Raj K, Hou L, Baccarelli AA, Li Y, Stewart JD, Whitsel EA, Assimes TL, Ferrucci L, Horvath S.","Aging (Albany NY). 2019 Jan 21;11(2):303-327. doi: 10.18632/aging.101684.","Lu AT","Aging (Albany NY)","2019","2019/01/23","PMC6366976","","10.18632/aging.101684"
"39900648","Individual and additive effects of vitamin D, omega-3 and exercise on DNA methylation clocks of biological aging in older adults from the DO-HEALTH trial","Bischoff-Ferrari HA, Gängler S, Wieczorek M, Belsky DW, Ryan J, Kressig RW, Stähelin HB, Theiler R, Dawson-Hughes B, Rizzoli R, Vellas B, Rouch L, Guyonnet S, Egli A, Orav EJ, Willett W, Horvath S.","Nat Aging. 2025 Mar;5(3):376-385. doi: 10.1038/s43587-024-00793-y. Epub 2025 Feb 3.","Bischoff-Ferrari HA","Nat Aging","2025","2025/02/03","PMC11922767","","10.1038/s43587-024-00793-y"
"33844651","Potential reversal of epigenetic age using a diet and lifestyle intervention: a pilot randomized clinical trial","Fitzgerald KN, Hodges R, Hanes D, Stack E, Cheishvili D, Szyf M, Henkel J, Twedt MW, Giannopoulou D, Herdell J, Logan S, Bradley R.","Aging (Albany NY). 2021 Apr 12;13(7):9419-9432. doi: 10.18632/aging.202913. Epub 2021 Apr 12.","Fitzgerald KN","Aging (Albany NY)","2021","2021/04/12","PMC8064200","","10.18632/aging.202913"
"36066889","Association of Unhealthy Lifestyle and Childhood Adversity With Acceleration of Aging Among UK Biobank Participants","Yang G, Cao X, Li X, Zhang J, Ma C, Zhang N, Lu Q, Crimmins EM, Gill TM, Chen X, Liu Z.","JAMA Netw Open. 2022 Sep 1;5(9):e2230690. doi: 10.1001/jamanetworkopen.2022.30690.","Yang G","JAMA Netw Open","2022","2022/09/06","PMC9449787","","10.1001/jamanetworkopen.2022.30690"
"37789775","Accelerated aging mediates the associations of unhealthy lifestyles with cardiovascular disease, cancer, and mortality","Li X, Cao X, Zhang J, Fu J, Mohedaner M, Danzengzhuoga, Sun X, Yang G, Yang Z, Kuo CL, Chen X, Cohen AA, Liu Z.","J Am Geriatr Soc. 2024 Jan;72(1):181-193. doi: 10.1111/jgs.18611. Epub 2023 Oct 4.","Li X","J Am Geriatr Soc","2024","2023/10/04","PMC11078652","NIHMS1936223","10.1111/jgs.18611"
"33930583","A systematic review of biological, social and environmental factors associated with epigenetic clock acceleration","Oblak L, van der Zaag J, Higgins-Chen AT, Levine ME, Boks MP.","Ageing Res Rev. 2021 Aug;69:101348. doi: 10.1016/j.arr.2021.101348. Epub 2021 Apr 28.","Oblak L","Ageing Res Rev","2021","2021/04/30","","","10.1016/j.arr.2021.101348"
"39683559","The Mediating Role of Body Mass Index in the Association Between Dietary Index for Gut Microbiota and Biological Age: A Study Based on NHANES 2007-2018","An S, Qin J, Gong X, Li S, Ding H, Zhao X, He H, Zhou L, Deng X, Chu X.","Nutrients. 2024 Nov 30;16(23):4164. doi: 10.3390/nu16234164.","An S","Nutrients","2024","2024/12/17","PMC11643866","","10.3390/nu16234164"
"38740004","Synergistic impact of 25-hydroxyvitamin D concentrations and physical activity on delaying aging","Liu C, Hua L, Xin Z.","Redox Biol. 2024 Jul;73:103188. doi: 10.1016/j.redox.2024.103188. Epub 2024 May 10.","Liu C","Redox Biol","2024","2024/05/13","PMC11103937","","10.1016/j.redox.2024.103188"
"28198702","Epigenetic clock analysis of diet, exercise, education, and lifestyle factors","Quach A, Levine ME, Tanaka T, Lu AT, Chen BH, Ferrucci L, Ritz B, Bandinelli S, Neuhouser ML, Beasley JM, Snetselaar L, Wallace RB, Tsao PS, Absher D, Assimes TL, Stewart JD, Li Y, Hou L, Baccarelli AA, Whitsel EA, Horvath S.","Aging (Albany NY). 2017 Feb 14;9(2):419-446. doi: 10.18632/aging.101168.","Quach A","Aging (Albany NY)","2017","2017/02/16","PMC5361673","","10.18632/aging.101168"
